what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1391080545647
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1391080554399
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391080660510
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391080662944
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1391080723441
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1391080739494
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1391080758697
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1391080786340
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1391080864309
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1391080890595
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391081017174
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391081018141
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391081034942
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391081035223
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391081061212
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391081072413
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391081079059
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391081079840
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391081131866
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391081133207
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391081137295
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391081146406
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391081148450
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391081199915
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391081222410
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391081224641
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391081512009
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1391081532928
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391081539293
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391081564565
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391081564690
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391081564690
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391081566734
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391081567811
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1391081572979
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1391081597815
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391081611043
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391081623945
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1391081627938
